name,type,latitude,longitude,osm_id
BM Hospital,hospital,12.9887616,80.1904116,node/310910945
K.F. Hospital,hospital,12.973463,80.1841397,node/311429396
Cancer Institute,hospital,13.0061338,80.239884,node/312000326
Sri Ramachandra Medical Centre and Hospital,hospital,13.0380979,80.1428047,node/313027868
Apollo Speciality Hospital - Block A,hospital,13.0336469,80.2451684,way/315499682
Apollo Speciality Hospital - Block B,hospital,13.0336169,80.2456392,way/315499747
Apollo Speciality Hospital - Block C,hospital,13.0339285,80.245666,way/315499965
Govt Maternity Hospital,hospital,13.0720996,80.2589871,node/320275820
Institute of Child Health,hospital,13.0735496,80.257025,node/320275824
Institute of Obstetrics and Gynaecology dd,hospital,13.0735431,80.2591463,node/320275839
Ellen Multispeciality Hospital,hospital,11.0213634,76.9708723,node/321420767
GP Hospital,hospital,11.0201233,76.9710726,node/321420772
Arunn Surgery,clinic,11.0110912,76.9671438,node/321420833
Chennai Clinical Centres,hospital,12.9941997,80.2516271,way/328706398
Saravana Dental Care Hospital,hospital,11.0028292,76.9513725,node/330069980
Senthil Hospital,hospital,11.0089752,76.9578034,node/330070075
Dr. S. G. Rajarathinam Hospital,hospital,11.0095256,76.9619316,node/330070077
Public Health Centre (In Patient Block),hospital,13.0359986,80.2218494,way/332525434
Public Health Centre (Out Patient Block),hospital,13.0363842,80.2219385,way/332525519
"K. G. Hospital, Coimbatore",hospital,11.0004227,76.9715023,node/337604253
Chitra Maternity andSurgival Centre,hospital,13.0234391,80.2229133,way/337923794
Bora Hospital,hospital,13.0223109,80.2222779,way/337929079
NLC General Hospital,hospital,11.621159,79.482489,way/338725613
Government Hospital,hospital,11.2168924,78.169068,way/342052679
Vasan,hospital,13.0217319,80.2257691,way/343141649
Sengaliappan Nursing Home,hospital,11.0165542,76.955239,node/343436821
SRM Hospital,hospital,13.0418111,80.2246322,way/350538223
DAE Hospital,hospital,12.5037319,80.159635,node/353073527
Guest Hospital,hospital,13.0772245,80.2387532,way/354243595
Frontier Lifeline Hospital,hospital,13.0875243,80.1857322,way/354278944
Essvee Hospital,hospital,13.1232317,80.1460602,way/354290251
Hande Medical Centre,hospital,13.0611783,80.2466206,way/354293689
Mahalakshmi Multi-Speciality Hospital,hospital,13.1227176,80.1468899,way/354452683
Kauvery Hospital,hospital,13.0474765,80.2041464,way/354460032
Iswarya Fertility Center,clinic,13.1217932,80.1482455,way/354467887
Balaji Hospital (P) Ltd,hospital,13.0074019,80.2060853,way/354540004
Sugam Hospitals,hospital,12.9617858,80.1467001,way/354562297
Chennai Medical Centre,hospital,13.0381039,80.1890642,way/354572408
Urban Primary Health Center,clinic,13.1179841,80.1544193,way/354769082
Child Clinic Dr Ashok Kumar,clinic,12.9723128,80.1284964,way/354791796
Chennai Fertility Center,hospital,13.0690367,80.2257614,way/354814307
J.V. Hospitals Llp,hospital,13.0505664,80.2299034,way/354839873
R.R Dental Hospital,hospital,13.0519005,80.2292607,way/354840226
JV Hospital,hospital,13.0505634,80.2297492,way/354840384
Viganesh Hospital,hospital,13.0308661,80.1717417,way/355052484
Chennai Heritage Hospital,hospital,13.0653715,80.2119909,way/355067576
Xcellent Care Hospital,hospital,12.9856288,80.2183869,way/355074781
Be Well Hospitals,hospital,13.0794481,80.1983283,way/355658593
HomeoCare International Hospital,hospital,12.924879,80.1126812,way/355954822
Kovai Medical Centre and Hospital,hospital,11.0426077,77.0406074,way/356877719
MN Eye Hospital,hospital,13.1229398,80.2875069,way/361224706
Chennai National Hospital,hospital,13.0963673,80.2914373,way/363930311
Diha Clinic,hospital,12.9809453,80.1871143,way/364356223
Nirmal Eye Hospital,hospital,12.929765,80.1161656,way/364483211
MIOT International,hospital,13.0211808,80.1858412,node/364650995
Athipathy Hospitals,hospital,12.976434,80.2221909,way/364721502
St. Thomas Hospital,hospital,13.0122733,80.196428,node/367795605
Govt Primary Health Centre,hospital,12.5274531,80.1631378,node/368307280
Health Centre,hospital,12.9695037,79.1546464,way/370765052
Dr.Kamakshi Memorial Hospital,hospital,12.9492371,80.2091585,way/371970672
Shivasundar Hospital,hospital,12.9977694,80.2574762,way/374048313
Venkataeswara Hospitals,hospital,13.0293624,80.2440921,node/375668400
Kamala Nehru Urban Primary Health Centre,hospital,10.3606804,77.973788,way/376181984
Coimbatore Medical College Hospital,hospital,10.9964129,76.9702365,way/377993519
St. Theresa Hospital,hospital,11.0252309,79.8530455,way/379742346
Coimbatore Diabetes Foundation,hospital,11.0344771,76.8765145,way/380074539
Rosemary Mission Hospitals,hospital,8.7237565,77.722212,way/382425891
Government Hospital,hospital,12.7289287,77.8253132,node/389493285
Government Dispensary,clinic,12.9608465,80.2564406,way/397271559
Government Primary Health Center,hospital,12.9550873,80.0432574,way/428432216
Government Medical College & Hospital,hospital,10.4101898,78.8481628,way/436757487
Govt Dispenssry and School,hospital,10.5927913,79.4163552,way/440730827
Ullikottai Government Hospital,hospital,10.5959657,79.4251891,way/440730828
Government Hospital,hospital,8.3399585,77.8667369,way/441776713
Sarswathi Hospital,hospital,12.9653846,80.2067733,node/442508332
Airforce Hospital,hospital,11.0056673,76.9860901,way/442528852
Government Sivagangai Medical College & Hospital,hospital,9.838807,78.4782631,way/442712696
Dr Muthulakshmi Reddy Government Hospital,hospital,10.3786929,78.8187008,way/444400318
Ranee Government Hospital,hospital,10.3873857,78.8196171,way/444728290
CMC Hospital,hospital,13.0380763,80.1889033,way/451681464
ESIS- Employes State Insurance Scheme,hospital,10.7957301,78.6784108,way/455766713
Dakshin Hospital,hospital,11.4546301,77.445905,way/456518582
Government Hospital,hospital,11.4565126,77.4288768,way/456518583
Seetha Lakshmi Hospital,hospital,11.4474948,77.4341288,way/456519317
Apollo Clinic & Pharmacy,hospital,13.05244,80.2041657,node/459635161
Vijaya Heart Centre,hospital,13.0483819,80.2070144,node/459648701
corporation hospital,hospital,12.9846941,80.2573424,way/462740006
Anurag Hospital,hospital,11.006956,77.011889,way/464308337
Annai Arul Hospital,hospital,12.9207052,80.0880949,way/469672997
Govt Hospital,hospital,12.5185717,77.7938205,way/478202554
"Government Hospital, Gudiyatham",hospital,12.9451411,78.8703994,way/485799111
Rajam Medical Centre & Hospital,hospital,10.9487627,76.9776849,way/497317279
Sri Balaji Hospitals,hospital,10.953798,76.9736085,way/497317281
Abinand Hospital,hospital,10.954295,76.9731819,way/497318359
FIMS Hospitals | Best Multispeciality Hospital In Sonipat,hospital,10.957909,76.9724703,way/497318360
NRP Hospitals,hospital,10.9581915,76.9710523,way/497318366
Seetharam Hospital,hospital,10.9868836,76.9335496,way/497325630
Snekaram Hospital,hospital,10.9873439,76.9357994,way/497325631
Medicine Point,hospital,10.9681553,76.9785734,way/498985099
Coimbatore Child Trust Hospital,hospital,10.9978875,77.0170667,way/498988417
Sri Ramakrishna Hospital,hospital,11.0236015,76.976512,way/506409030
PAMC Hospital (Pandian Advanced Medical Centre),hospital,9.9267975,78.1420027,node/518947889
Aravind Eye Hospitals,hospital,9.9212003,78.1398805,node/518991792
Government Vetinary Hospital,hospital,9.9317265,78.1401058,node/519011232
Government Hospital,hospital,10.2512627,78.8135488,node/523575229
B.M.Orthopaedic Hospital,hospital,13.1181104,80.1499411,node/540658116
M.S.R Hospital,hospital,9.5090381,78.0910385,way/540998819
Government Hospital,hospital,10.8957214,79.1896963,way/541360874
Selvam Nursing Home,clinic,9.5100742,78.090819,way/542424005
Meera Hospital,hospital,9.514331,78.0943064,way/543514251
Manuel Ortho Hospital,hospital,8.2034428,77.4549952,way/547144284
கன்னியாகுமரி அரசு மருத்துவக் கல்லூரி மருத்துவமனை,hospital,8.1730323,77.3938912,way/551805512
Malar Hospital,hospital,10.7543147,78.6959251,way/566961520
Saranya Ayurveda Hospital,hospital,10.8733334,76.8784217,way/580417858
skandan nursing home,hospital,12.9447938,80.1405596,node/591555028
"Vasan Eye Care Hospital, Vadapalani",hospital,13.0495316,80.211027,node/595706154
JJ Hospital,hospital,13.0571293,80.1942138,node/597590621
Government Hospital,hospital,10.3416851,79.3835816,way/609984397
Dr. Haja Mohideen Clinic,clinic,10.3409204,79.3838558,way/611790523
Shifa Hospital,hospital,10.3488584,79.3787104,way/630276098
St. Marys Hospital,hospital,10.9625619,76.9865689,way/640746755
Ramanathan Hospital,hospital,10.7729537,79.1331354,node/644657108
NM Hospital Pvt Ltd,hospital,10.7698343,79.1324475,way/649323013
Global Ortho & Trauma Hospital,hospital,11.0108233,76.9661375,way/651641257
Sudar Hospital,hospital,10.7806464,79.1465695,way/654137406
"S.B. Hospital Urology, Nephrology & Fertility Research Centre",hospital,10.7755458,79.1254,node/658439838
Government Hospital,hospital,11.005636,77.5601252,way/663431516
J K Hospital,hospital,11.0042298,77.5603345,way/663481367
AVM Medical Centre,hospital,10.7876968,79.1384135,node/665697740
KRA Hospital,hospital,10.7869754,79.1397985,node/670883889
Sundakamuthur Government Hospital,hospital,10.9559428,76.9241442,way/676200805
GMC & ESI Hospitals,hospital,11.0087369,77.0227178,way/678830304
"Dr.Sengaliappan Nursing Home, Coimbatore",hospital,11.0272375,76.9501348,way/686744601
Neomed Hospital,hospital,9.9291508,78.148482,node/690029213
Senthil Dental Clinic,clinic,11.0054794,77.5638863,way/690506413
Raja Children's Hospital,hospital,11.0060531,77.5639063,way/690506416
KMCH Hospital,hospital,11.2788797,77.5848796,node/725272765
Vellamal Medical College Hospital,hospital,9.8871218,78.1504152,way/726142747
Government Hospiral,hospital,10.0638576,78.7771791,way/730818941
"Government Hospital, Virudhunagar",hospital,9.5881971,77.9619826,way/735439363
Raghavendhar Hospital,hospital,9.9160475,78.1396661,way/738396085
"Sri Lakshmi Hospital, Madurai",hospital,9.935446,78.0966413,way/738450855
"Sri Ramakrishna Hospital, Coimbatore",hospital,11.0231718,76.9776867,way/738467952
Anbu Hospital - Madurai,hospital,9.9102022,78.1512214,way/738492941
Grace Kennet Foundation Hospital,hospital,9.9171842,78.1084193,way/739709426
N M Hospital,hospital,10.9981109,76.9994702,way/739720633
"Avss Hospitals, Advanced Trauma Center",hospital,9.9173912,78.1392419,way/739746309
G.V Hospital,hospital,9.9364743,78.088976,way/739750337
Hannah Joseph Hospital,hospital,9.93029,78.1485503,way/739778259
Dr.Agarwal's Eye Hospital,hospital,9.9355156,78.1016791,way/740043955
Kovai Diabetes Speciality Centre and Hospital,hospital,11.0159446,76.961461,way/740151967
Jebam Hospital,hospital,9.928658,78.0976834,way/740211053
Janet Hospitals,hospital,9.9293983,78.0996996,way/740570228
Sri E N T Hospital,hospital,9.9314411,78.0967263,way/740623869
M. V. Eye Care Centre,hospital,11.0128979,76.962954,way/740646248
அருண் மருத்துவமனை,hospital,9.9210315,78.1257621,way/740649101
Madurai Kidney Centre and Transplantation Research Institute,hospital,9.9273296,78.147742,way/740870093
Sugapriya Hospital,hospital,9.9305699,78.149045,way/740881961
Rajalakshmi E.N.T Nursing Home,clinic,9.9087266,78.1466207,way/740881977
Dr N S Palaniappan Nursing Home,hospital,11.0078696,76.9662789,way/740883509
Seesha Karunya Community Hospital,hospital,11.0160493,76.9594132,way/740884933
Aditya Speciality Hospital,hospital,9.8803973,78.060952,way/740914576
Selvam Hospital,hospital,9.9203861,78.1242439,way/740915700
"Srinivasa Hospital, Madurai",hospital,9.9324151,78.0956963,way/741001817
"Ganga Medical Centre and Hospitals Pvt. Ltd ,Ramnagar",hospital,11.0158471,76.9595292,way/741020155
Kumaran Medical Center-Multispeciality Hospital,hospital,11.10729,77.0238004,way/750002368
Gleneagles Global Heath City,hospital,12.8981219,80.2061579,way/765605778
விஜய் நர்சிங் ஹோம்,clinic,9.9154219,78.1418639,way/769386230
Vijaya Nursing Home,clinic,9.4475302,77.8000552,way/777208785
"Government Hospital, Rameswaram",hospital,9.2827675,79.3121725,way/777208893
G.K.F Hospital,hospital,9.9174405,78.1082483,way/777212649
Prasanna Kumaran Hospital,hospital,9.9246766,78.0939193,way/777212659
G.S. Hospital,hospital,9.9091751,78.1533525,way/777212669
Bagavathy Hospital,hospital,9.917626,78.1293466,way/777212678
Devaki Cancer and Research Institute,hospital,9.9282848,78.098568,way/777212703
Vijayaraj Speciality Hospital,hospital,9.9332819,78.0925948,way/777212723
Annai Hospital,hospital,9.9255431,78.0903292,way/777212736
Keerthi Hospital,hospital,9.9260909,78.0937642,way/777212751
KGM Hospital,hospital,10.6701445,77.0075175,way/777217560
T.M.Palayam PHC,hospital,10.8800121,76.9247754,way/777636349
"Govt.Community Health Center, melattur",hospital,10.8581073,79.2411464,way/777636438
"Jeevan Clinic and Hospital, Coimbatore",hospital,11.0199095,76.9670503,way/777638186
Coimbatore Corporation Maternity Centre,hospital,11.0068131,76.9669045,way/777638193
Govt Rajaji Hospital Emergency Ward,hospital,9.9250034,78.1374473,way/781364732
Rajas Dental College & Hospital,hospital,8.2744827,77.564909,way/799844416
Bala Hospital,hospital,10.9969296,76.995705,node/803091648
Swami Dayananda Jayavarthanavelu Rural & Tribal Hospital,hospital,11.107894,76.7675719,way/806110417
Sathyamangalam Government Hospital,hospital,11.5016489,77.2582814,way/823591855
Thoothukudi Government Medical College Hospital,hospital,8.7981499,78.1360638,way/823674460
"Government Medical College Hospital, Dindigul",hospital,10.3644811,77.9764388,way/823693689
"Government Hospital, Edapadi",hospital,11.5848264,77.8380174,way/823992701
"Government Hospital, Vikravandi",hospital,12.0393468,79.5501915,way/824054776
Thiruvalangadu Government Hospital,hospital,13.1314458,79.7805664,way/830928050
"Kongunad Hospital, Coimbatore",hospital,11.018058,76.9604883,node/832779637
Sheela Clinic,hospital,11.01843,76.9604642,node/832779865
Lung Zone,clinic,9.9384255,78.0984798,way/840210197
Thiraviyam Pillai Hospital,hospital,9.9088254,78.1195421,way/840228903
Aiswarya Clinic,hospital,11.0228396,76.9655596,way/840630245
Nithya Hospital,hospital,11.0210653,76.9665454,way/840630290
Csi Hospital,hospital,8.2112434,77.3026023,way/850565299
vasu medical,hospital,10.9638208,78.0530404,way/868656912
bhawa medical,hospital,10.9589205,78.0761443,way/868657749
Amra Skin Care,clinic,9.9383827,78.0986012,way/870644947
Tiruvottiyur Government Hospital,hospital,13.1576042,80.3012556,way/907941478
Appasamy Hospital,hospital,13.0750445,80.2151198,node/941471945
Appasamy Hospital,hospital,13.073239,80.2148826,node/941611681
Appolo Clinic,hospital,13.0892073,80.2178866,node/941621037
Government District Headquarters Hospital,hospital,10.1038513,78.7611232,way/973594539
"Sankara Eye Hospital, Kanchipuram",hospital,12.965059,80.128212,node/983957837
Government Siddha hospital,hospital,10.3618726,77.9869216,way/984800712
Mariyanathapuram PHC,hospital,10.34989,77.9860667,way/984800718
