name,religion,type,latitude,longitude,osm_id
Jumah Mosque,muslim,place_of_worship,12.9491408,80.2388599,node/2127112780
Masjidur Rahman,muslim,place_of_worship,12.9012988,80.2256867,node/2127119723
Masjid-El-Bilhhal,muslim,place_of_worship,11.3417609,76.8000038,node/2153183696
Chinna Pallivasal,muslim,place_of_worship,12.2521494,79.4129494,node/2510269157
Melappalli Mosque,muslim,place_of_worship,10.7089173,79.5181096,node/2535183853
Fathimiya Masjid,muslim,place_of_worship,10.7130893,79.5147241,node/2536021970
Chinnappalli Mosque,muslim,place_of_worship,10.7058982,79.5207571,node/2536059048
Rashidiya Mosque,muslim,place_of_worship,10.7084479,79.5232271,node/2536061901
Thaikkal Masjid,muslim,place_of_worship,10.7134632,79.5159934,node/2536079417
Malekondazhi Noor Palli,muslim,place_of_worship,10.708417,79.5168859,node/2547069830
Rahimiya Mosque,muslim,place_of_worship,10.720022,79.5135215,node/2550851082
Peruvilai Mosque,muslim,place_of_worship,8.1863324,77.3981834,node/2594120322
Mosque,muslim,place_of_worship,13.2821734,80.2606973,node/2607462944
Periya Palli Vasal,muslim,place_of_worship,12.249567,79.4128236,node/2660612040
Sakina Mosque,muslim,place_of_worship,12.244454,79.4107058,node/2660660167
Masjidul Huda,muslim,place_of_worship,10.7152073,79.5221751,node/2779599008
Masjid e Khadariya,muslim,place_of_worship,11.1029355,79.6506651,node/2804608332
Village Road Mosque,muslim,place_of_worship,13.0608729,80.2429026,node/3053552705
Meerapalli Mosque,muslim,place_of_worship,11.4941534,79.7595026,node/3103230730
Mohideen Masjid,muslim,place_of_worship,10.3954836,79.492617,node/3110448199
JAMIA MASJID,muslim,place_of_worship,10.3954124,79.4948915,node/3110448772
KUTTIYAR JUMMA MASJID,muslim,place_of_worship,10.3935439,79.4932649,node/3110451881
Shafiya Hayathul Islam Sunnath Jamath Masjith,muslim,place_of_worship,10.9722701,76.9714462,node/3127128477
Ghouse Palli,muslim,place_of_worship,11.4951225,79.7567325,node/3158504458
Marqus,muslim,place_of_worship,11.4944208,79.7614898,node/3199088202
Mosque,muslim,place_of_worship,12.9726373,79.2943788,node/3480954382
Tipu Sultan Mosque,muslim,place_of_worship,11.2234287,78.1627499,node/3513027966
Unnamed mosque,muslim,place_of_worship,10.7338315,79.5086382,node/3541175220
Daruga,muslim,place_of_worship,10.7338159,79.5082517,node/3541175221
pudupattinam mosque,muslim,place_of_worship,12.502935,80.1520105,node/3616510668
Jamia Masjid,muslim,place_of_worship,12.9688014,80.146697,node/3849313763
Green Mosque,muslim,place_of_worship,12.9711538,80.1503475,node/3849316460
Double Road Masjid,muslim,place_of_worship,12.9390711,79.1653347,node/4023814675
5 Corner Mosque,muslim,place_of_worship,10.9953065,76.9609226,node/4235065498
Mosque - Kerala Muslim Jamaat,muslim,place_of_worship,10.9905053,76.9619466,node/4235065590
mohaiyadeen aandavar pallivasal,muslim,place_of_worship,10.7831943,79.6448013,node/4292831230
Sholayar Muslim Janath Mosque and Arabic School,muslim,place_of_worship,10.296099,76.9461398,node/4293168389
Masjid,muslim,place_of_worship,10.7183521,79.0598595,node/4543308533
Masjid Mosque,muslim,place_of_worship,13.0900355,79.6600433,node/4748988036
Arakkonam Jamia Masjid,muslim,place_of_worship,13.0844728,79.6682353,node/4748988044
Vallal Yusuf nagar mosque,muslim,place_of_worship,12.9260751,80.1485193,node/5033636170
Dhargua,muslim,place_of_worship,11.049795,76.9749552,node/5175693682
Railady Mosque,muslim,place_of_worship,10.8962544,79.2058142,node/5181984674
Manakkaadu Mosque,muslim,place_of_worship,10.8967584,79.19764,node/5182964437
Vaaniya Street mosque,muslim,place_of_worship,10.8971796,79.195919,node/5182964439
Jaamiya Masjid,muslim,place_of_worship,10.8993472,79.1967049,node/5182990863
Pattabiram Mosque,muslim,place_of_worship,13.120541,80.0644339,node/5227837224
Masjid,muslim,place_of_worship,11.7634493,79.7642959,node/5228033079
Anjuman Mosque,muslim,place_of_worship,10.8966672,79.2003184,node/5230813631
East Street Mosque,muslim,place_of_worship,10.9001664,79.199204,node/5232461386
Nanna Munna Mosque,muslim,place_of_worship,10.8117547,78.6966946,node/5234610591
Hajath Saiyad Mosque,muslim,place_of_worship,10.8179751,78.6920513,node/5234626722
high road mosque,muslim,place_of_worship,10.817432,78.683452,node/5234663138
Maelapettai Mosque,muslim,place_of_worship,10.8967103,79.1926727,node/5234799043
Masjid-un-noor,muslim,place_of_worship,11.9387023,79.4993661,node/5234891429
Modern Mosque,muslim,place_of_worship,10.8989033,79.2025237,node/5235003561
Dharga,muslim,place_of_worship,13.0298658,80.2228102,node/5631888615
Masjid E,muslim,place_of_worship,11.9220113,79.5597155,node/5692241656
Masjid Noor,muslim,place_of_worship,10.3467892,79.3815799,node/5770543974
Jamia Masjid and Islamic Center,muslim,place_of_worship,8.9332022,77.2679537,node/5809646653
Chinna pallivasal,muslim,place_of_worship,9.5890531,77.9547395,node/5893818097
TNTJ Mosque,muslim,place_of_worship,10.3353225,79.3779521,node/5893838798
Salahiyah Mosque,muslim,place_of_worship,10.3360337,79.3781877,node/5893838822
Abubacker Siddiq (RA) Mosque,muslim,place_of_worship,10.339713,79.3738697,node/5917013722
Al-Bakiyathus Salihat Masjid,muslim,place_of_worship,10.3417108,79.374218,node/5917013724
Madina Mosque,muslim,place_of_worship,13.0911404,80.2275435,node/6117607937
Seramalliyar Jumma Mosque,muslim,place_of_worship,8.1938121,77.7508673,node/6130138733
Athangarai Pallivasal,muslim,place_of_worship,8.2621575,77.8003759,node/6130600359
Masjid,muslim,place_of_worship,8.319664,77.8264337,node/6130960090
Masjidun Noor Sunnath Jamaath Mosque,muslim,place_of_worship,10.6500992,76.9848797,node/6132086055
Hazrat Chan Masthan Mosque,muslim,place_of_worship,10.8214792,78.6929659,node/6205407486
Aayisha Masjid,muslim,place_of_worship,11.0101874,77.5555846,node/6205449946
Masjid d Qudusia,muslim,place_of_worship,13.0645638,80.2782359,node/6274254485
Ayisha Jummah Masjid,muslim,place_of_worship,12.3985655,79.80803,node/6478044783
Kattuthalaivasal Mosque,muslim,place_of_worship,10.0733281,78.7700257,node/6863981366
Jamia Masjid,muslim,place_of_worship,10.2364098,77.4957214,node/7299796913
Dana palli vasal,muslim,place_of_worship,8.7184547,77.3751562,node/7526669048
melapallivasal,muslim,place_of_worship,9.626059,78.6230417,node/7597632853
INPT mosque,muslim,place_of_worship,9.6283393,78.6272202,node/7603213866
Mohideen pura Masjid,muslim,place_of_worship,12.7846033,78.716911,node/7723614620
Usman pet Masjid,muslim,place_of_worship,12.9165592,79.2787524,node/7792287786
Saleem Nagar Masjid,muslim,place_of_worship,12.9131397,79.2848943,node/7792287985
Madharasthur Rahman,muslim,place_of_worship,8.6059039,77.9463616,node/7804675087
IMJ MOSQUE,muslim,place_of_worship,8.6041772,77.9468237,node/7804700921
Masjid-E-Hameediya,muslim,place_of_worship,13.0234762,80.2124583,node/8095529620
Masjid -E- Taqwa,muslim,place_of_worship,13.0292567,80.2116943,node/8095530253
NITT Mosque,muslim,place_of_worship,10.7653482,78.8184765,node/8463403139
Coonoor Chinna Palivasal(Masjid),muslim,place_of_worship,11.3454378,76.7955531,node/8765090628
Big Masjid,muslim,place_of_worship,11.3468666,76.7944244,node/8765179960
Wellington Masjid,muslim,place_of_worship,11.3554326,76.7843723,node/8766960531
Masjid,muslim,place_of_worship,11.34322,76.793101,node/8770992392
Uppoorani Masjid,muslim,place_of_worship,9.4429975,78.4421276,node/8829015791
Abiramam Periya Pallivasal,muslim,place_of_worship,9.4416574,78.4390986,node/8829022104
Sholavandhan Mosque,muslim,place_of_worship,10.0188419,77.9633826,node/8997445292
Begambur durgah,muslim,place_of_worship,10.356891,77.9663553,node/9104697812
MASJID-E-MAHMOOD MOSQUE,muslim,place_of_worship,11.2744212,79.546422,node/9135034258
Magdoom Gnaniyar Pallivasal,muslim,place_of_worship,8.7276591,77.6642995,node/9194980403
Rahmania Mosque,muslim,place_of_worship,10.4271446,79.6327109,node/9565761837
