name,type,latitude,longitude,osm_id
Ramanathapuram police station,police,10.9975827,76.997871,node/1474518443
B1 POLICE STATION,police,10.9924847,76.9591307,node/1474803271
Manavala Nagar Police Station,police,13.0839303,79.8991106,way/1486069895
T-13 Chitlapakkam Police Station,police,12.9395399,80.1380005,way/1531132888
Thiruverumbur Police Station,police,10.7813909,78.7810197,way/1535747119
Police station,police,11.0982007,77.3547487,way/1551398607
Town Crime Police Station,police,12.230218,79.0703162,way/1553492424
Kollencode Police Station,police,8.2937626,77.114347,node/1623278302
Police Station,police,11.3630177,77.7476505,node/1668204092
Tisaiyanvillai Police Station,police,8.3366712,77.8541616,node/1685476656
Shastri Nagar Police Station,police,13.0006116,80.2659307,node/1711627907
Bagayam Police Station,police,12.8757507,79.1336955,node/1754861237
Palani Town Police Station,police,10.4528743,77.5155698,node/1771171090
Tiruppur North,police,11.1066254,77.3427939,node/1813686211
Police Outpost,police,13.2156173,80.1694388,node/1865961947
HVF,police,13.1291456,80.1073794,node/1896342668
Railway police station,police,8.9645513,77.3063031,node/1909667210
"Krishnagiri Taluk office, fire station, Police station",police,12.5254539,78.2171823,node/1911051522
Police Stations,police,8.9724199,77.4192932,node/1918541999
K11 CMBT Police Station,police,13.0687012,80.2046669,node/1948632616
Komarapalayam Police station,police,11.4413141,77.6931115,node/1974104672
Adirampattinam Police Station,police,10.3404104,79.3855317,node/1988390146
Commissioner's office,police,11.755369,79.7688583,node/1998095213
J2 Police Station Kedar Jurisdiction,police,12.0091224,79.4029681,node/2039963456
J9 Police Station,police,12.947613,80.2416251,node/2061123092
Madipakkam Police Station,police,12.9559858,80.1853072,node/2086712180
All Women Police Station,police,8.0824428,77.5495196,node/2152043251
Police Station,police,8.0821735,77.5495411,node/2152043264
Police Srirangam,police,10.8571762,78.6896428,node/2152463911
Taluk Police Station Kumbakonam,police,10.9555027,79.3655029,node/2153276888
Traffic Police Station,police,12.6212684,80.1955516,node/2154131305
"Police Station, Vettavalam",police,12.1098807,79.2447246,node/2156885345
Police Booth,police,12.8975662,80.1823209,node/2210021510
police station,police,10.7035066,78.5504006,node/2214183884
Police Assistance Booth Mugalivakam,police,13.0207162,80.1663239,node/2221603034
B2 Police Station,police,10.8228204,78.6827289,node/2296700944
Trafic Police Station,police,12.7279317,77.8270513,node/2344385363
Hosur Town Police Station,police,12.7267546,77.827283,node/2344410073
Police,police,12.6214889,80.1942737,node/2375997491
Jaihindpuram Police Station,police,9.9066088,78.1119041,node/2442814216
City Police HQ,police,9.5565491,77.9453096,node/2445795300
Koothanallur Police Station,police,10.7161884,79.5172308,node/2535205986
Women's Police Station,police,12.2523481,79.4163223,node/2578986487
Police Station,police,12.2517837,79.4181292,node/2578986788
J6 Police Station,police,12.9874599,80.2559315,node/2587520257
Mailam Police Station,police,12.1281858,79.6195761,node/2678764369
S-10 Police Station (Pallikaranai),police,12.9173825,80.1950805,node/3097014588
Perumalpuram C3 Police station,police,8.7040942,77.7319902,node/3154720635
Chetpet,police,13.0706907,80.2421194,node/3195423909
Rathinapuri Police Station,police,11.0250344,76.9715748,node/3571694093
Thirukovilur Police Station,police,11.9664139,79.2020996,node/3591907532
Boiler Plant Police Station,police,10.7710082,78.795665,node/3686857438
Police Station,police,11.9401952,79.4865046,node/3983676959
Police Station,police,11.9440945,79.4958028,node/3983763747
Salem Town Police Station,police,11.6539405,78.1604851,node/4299434191
Alagapuram Police station,police,11.6769953,78.1422615,node/4305413795
R6 KUMARAN NAGAR POLICE STATION ,police,13.0283677,80.2163105,node/4308319495
Denkanikottai Police Station,police,12.5208971,77.7903372,node/4322649892
Airport Police Station,police,10.7588027,78.7077417,node/4436123523
G4 Vandavasi north police station,police,12.5068712,79.6045373,node/4444954749
superitendent of police,police,12.8224828,79.6973133,node/4445174109
Walajabad police station,police,12.7937471,79.8162163,node/4445183306
c3 police station Manimangalam,police,12.9163861,80.0398418,node/4445204054
Cheyur Police station,police,12.3517152,79.9975084,node/4445288963
sup,police,12.822712,79.6949704,node/4445321696
anna nagar police superitendent station,police,12.8237772,79.6974277,node/4445321697
Chengalpatu AwPolice Station,police,12.6971397,79.9771626,node/4445352945
Guduvancherry Police Station,police,12.8439226,80.0615864,node/4445363957
Baluchetty Chatram Police station,police,12.8768075,79.6160108,node/4445386757
Melmaruvathur Police Station,police,12.4316923,79.831919,node/4445409369
Mathur Police Station,police,12.3828409,78.4125514,node/4445425089
Otteri Police Station,police,13.0874523,80.2458786,node/4445488162
